DATE,VALUE
1980-01-01,7.48594619085968
1980-04-01,7.71220158116418
1980-07-01,8.45149925763388
1980-10-01,8.27966447779358
1981-01-01,7.49957507449698
1981-04-01,7.06415235961504
1981-07-01,6.99603906756090
1981-10-01,7.43521881405180
1982-01-01,7.18082666249416
1982-04-01,6.95781929373202
1982-07-01,6.34494873819038
1982-10-01,6.06411596823919
1983-01-01,6.16197735364912
1983-04-01,6.06856890135890
1983-07-01,5.54493989288915
1983-10-01,5.43779630492729
1984-01-01,5.42113071300704
1984-04-01,5.60887439039882
1984-07-01,5.08643553411650
1984-10-01,4.90099209852422
1985-01-01,4.96284215852600
1985-04-01,5.46901173237203
1985-07-01,5.77815271401055
1985-10-01,6.11829830652278
1986-01-01,6.57587051203324
1986-04-01,6.23067759760971
1986-07-01,6.49628699296841
1986-10-01,6.59995092168027
1987-01-01,7.45305944368939
1987-04-01,8.16377766654449
1987-07-01,8.27721632463265
1987-10-01,8.34285088892207
1988-01-01,7.87547391742770
1988-04-01,7.71129191490194
1988-07-01,7.03098401241780
1988-10-01,6.59212165235553
1989-01-01,6.13016127642539
1989-04-01,5.61279710875064
1989-07-01,4.88449442606300
1989-10-01,4.88037966808479
1990-01-01,5.48730834886109
1990-04-01,5.70108687404544
1990-07-01,5.98241603865775
1990-10-01,6.43603183707397
1991-01-01,6.17569276187395
1991-04-01,5.01042202630025
1991-07-01,4.81618964957803
1991-10-01,5.45151814772019
1992-01-01,5.36195851323659
1992-04-01,5.12247450656581
1992-07-01,6.96611569482649
1992-10-01,6.15376576909591
1993-01-01,5.08072398053405
1993-04-01,5.69934924379596
1993-07-01,5.05873283842215
1993-10-01,4.19948170203494
1994-01-01,4.47146241476039
1994-04-01,5.36397482756155
1994-07-01,5.17829546018441
1994-10-01,5.03293459097104
1995-01-01,4.88941436187242
1995-04-01,5.31791942140326
1995-07-01,4.81077435082890
1995-10-01,4.08486103662473
1996-01-01,4.31748280086946
1996-04-01,4.31268524009664
1996-07-01,3.73873483860976
1996-10-01,4.07567079290459
1997-01-01,3.99542287944683
1997-04-01,3.62840836570363
1997-07-01,3.63148637268717
1997-10-01,3.64838008695490
1998-01-01,3.46823412692143
1998-04-01,3.98542190175186
1998-07-01,3.69255625015728
1998-10-01,3.72849676801239
1999-01-01,3.61392142747550
1999-04-01,3.60355249628684
1999-07-01,3.45030318009675
1999-10-01,3.61008154332199
2000-01-01,3.90491924669154
2000-04-01,4.02519564284208
2000-07-01,3.70861000671996
2000-10-01,2.94515074351218
2001-01-01,3.05711758492333
2001-04-01,2.96168018453896
2001-07-01,2.88967706165560
2001-10-01,2.65533798868885
2002-01-01,2.57124770082825
2002-04-01,2.95971601418177
2002-07-01,3.06874048146299
2002-10-01,3.14949891625854
2003-01-01,3.25868958035657
2003-04-01,3.03973741507378
2003-07-01,2.59044486428534
2003-10-01,3.08179940954993
2004-01-01,3.33489701299793
2004-04-01,3.43119793385749
2004-07-01,3.24424937162008
2004-10-01,3.36311205989664
2005-01-01,3.85317801672640
2005-04-01,4.05529174827992
2005-07-01,4.29760670367912
2005-10-01,4.04558164654351
2006-01-01,4.21780678268630
2006-04-01,6.09486162660666
2006-07-01,5.56286918529026
2006-10-01,4.37078163556587
2007-01-01,4.59463738754146
2007-04-01,4.47717494958876
2007-07-01,4.55572642977008
2007-10-01,4.55048784011618
2008-01-01,4.92357356836053
2008-04-01,5.19571730138671
2008-07-01,5.31570984972485
2008-10-01,3.95860548602158
2009-01-01,4.23525357138257
2009-04-01,5.24687228820197
2009-07-01,5.25623535042104
2009-10-01,4.95372082427596
2010-01-01,5.56112318840580
2010-04-01,6.25064188751573
2010-07-01,6.31818443235227
2010-10-01,6.44264816038652
2011-01-01,7.02510819046398
2011-04-01,7.19191897692558
2011-07-01,5.26537708947586
2011-10-01,4.34554927132546
2012-01-01,4.72446770253424
2012-04-01,4.83467015056356
2012-07-01,4.63310933901388
2012-10-01,4.78619476771759
2013-01-01,6.38426425317205
2013-04-01,7.10172964959839
2013-07-01,6.70822097562339
2013-10-01,6.66875922980112
2014-01-01,7.76245042432468
2014-04-01,6.94092119696883
2014-07-01,5.93839402334300
2014-10-01,5.75911082797651
2015-01-01,5.55964827885104
2015-04-01,5.13109862018512
2015-07-01,5.25351353075112
2015-10-01,5.27806955934240
2016-01-01,6.50075144862754
2016-04-01,7.34722330140328
2016-07-01,7.24515604874305
2016-10-01,7.46301515018698
2017-01-01,7.90443428824020
2017-04-01,7.85588585255338
