agent_type,sharpe_ratio,final_cost,final_risk,final_value,final_wealth,final_wealth_net_risk
Markowitz,0.19963769501530956,0.34693178701585986,1.7633158093504062,13.545761079464654,13.198829292448794,11.435513483098388
GP,-0.33869585323357626,1.0587596566892026,0.9725578151074836,-14.487622301601052,-15.546381958290254,-16.518939773397737
RL,-2.9524908594844432,1.9569644217923239,0.9607677135848585,-121.96075405865487,-123.91771848044719,-124.87848619403205
